yyyy,mm,dd,hh,mm,lat,lon,elev,icao,faa,wmo,wban,country3,region,sky_total,sky_ceiling,visibility_m,weather_present,weather_past1,weather_past2,temp,dwpt,rh,wind_dir,wind_spd,wind_gst,pressure_alstg,pressure_slp,snow_depth,temp_max24,temp_min24,temp_max12,temp_min12,temp_max6,temp_min6,precip_24,precip_12,precip_6,precip_1,source,datatype,yyyy_rounded,mm_rounded,dd_rounded,hh_rounded
2014,01,02,10,23,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,3200,71,,,0.6,-0.6,91,10,3,,29.88,,,,,,,,,,,,0.3,100,13,2014,01,02,10
2014,01,02,10,32,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,0000,71,,,0.6,-0.6,91,10,3,,29.88,,,,,,,,,,,,0.5,100,13,2014,01,02,11
2014,01,02,10,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,1200,71,,,0.6,-1.1,87,360,5,,29.88,1012.3,,,,,,,,,,,0.8,100,14,2014,01,02,11
2014,01,02,11,27,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,005,1600,71,,,-0.6,-1.7,91,350,8,,29.88,,,,,,,,,,,,0.8,100,13,2014,01,02,11
2014,01,02,11,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,005,1600,71,,,-2.8,-4.4,87,350,8,,29.89,1012.8,,,,,,1,-3,7.4,,6.6,1.0,100,12,2014,01,02,12
2014,01,02,12,02,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,022,0000,71,,,-3.3,-5.0,86,350,9,,29.88,,,,,,,,,,,,0.0,100,13,2014,01,02,12
2014,01,02,12,22,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,018,1200,71,,,-4.4,-6.1,86,340,9,,29.89,,,,,,,,,,,,0.3,100,13,2014,01,02,12
2014,01,02,12,31,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,020,0000,71,,,-5.0,-7.2,83,350,9,,29.89,,,,,,,,,,,,0.3,100,13,2014,01,02,13
2014,01,02,12,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,026,0000,71,,,-6.1,-8.3,83,340,8,17,29.90,1013.5,,,,,,,,,,,0.3,100,12,2014,01,02,13
2014,01,02,13,23,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,023,0300,71,,,-6.1,-8.9,78,340,10,21,29.91,,,,,,,,,,,,0.3,100,13,2014,01,02,13
2014,01,02,13,30,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,009,4800,71,,,-6.7,-8.9,82,330,8,17,29.92,,,,,,,,,,,,0.3,100,13,2014,01,02,14
2014,01,02,13,36,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,010,0000,71,,,-6.7,-8.9,82,340,8,16,29.92,,,,,,,,,,,,0.3,100,13,2014,01,02,14
2014,01,02,13,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,010,0000,71,,,-6.7,-9.4,79,350,9,18,29.93,1014.3,,,,,,,,,,,0.3,100,12,2014,01,02,14
2014,01,02,14,18,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,013,4800,71,,,-6.7,-9.4,79,340,9,23,29.93,,,,,,,,,,,,0.0,100,13,2014,01,02,14
2014,01,02,14,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,013,4800,71,,,-7.2,-10.6,74,350,9,20,29.97,1015.8,,,,,,,,,,0.5,0.0,100,12,2014,01,02,15
2014,01,02,15,51,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,016,0300,71,,,-7,-11,70,340,7,17,29.99,,,,,,,,,,,,0.0,100,13,2014,01,02,16
2014,01,02,15,52,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,016,0300,71,,,-7.2,-10.6,74,330,8,17,29.99,1016.5,,,,,,,,,,,0.0,100,12,2014,01,02,16
2014,01,02,16,04,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,017,0000,71,,,-7.2,-10.6,74,330,6,16,30.00,,,,,,,,,,,,0.0,100,13,2014,01,02,16
2014,01,02,16,34,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,019,0300,71,,,-7.2,-10.6,74,330,10,18,30.00,,,,,,,,,,,,0.0,100,13,2014,01,02,17
2014,01,02,16,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,017,0250,71,,,-7.2,-10.6,74,330,7,17,30.00,1016.6,,,,,,,,,,,0.0,100,12,2014,01,02,17
2014,01,02,17,42,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,017,3200,71,,,-7.2,-11.1,71,340,11,23,30.00,,,,,,,,,,,,0.0,100,13,2014,01,02,18
2014,01,02,17,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,019,0000,71,,,-7.2,-11.1,71,330,6,22,30.00,1016.7,,,,,,-3,-8,,,0.5,0.0,100,12,2014,01,02,18
2014,01,02,18,33,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,023,0000,71,,,-7.2,-10.6,74,-1,6,,30.00,,,,,,,,,,,,0.0,100,13,2014,01,02,19
2014,01,02,18,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,017,0300,71,,,-7.2,-11.1,71,330,7,,30.01,1017.2,,,,,,,,,,,0.0,100,12,2014,01,02,19
2014,01,02,19,00,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,017,3200,71,,,-7.2,-11.1,71,320,8,,30.01,,,,,,,,,,,,0.0,100,13,2014,01,02,19
2014,01,02,19,10,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,017,0000,71,,,-7.8,-11.1,75,340,8,16,30.02,,,,,,,,,,,,0.0,100,13,2014,01,02,19
2014,01,02,19,28,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,017,0300,71,,,-7.8,-11.1,75,330,7,20,30.02,,,,,,,,,,,,0.0,100,13,2014,01,02,19
2014,01,02,19,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,017,0300,71,,,-8.3,-11.7,74,340,9,20,30.04,1018.2,,,,,,,,,,,0.0,100,12,2014,01,02,20
2014,01,02,20,05,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,023,4800,71,,,-8.3,-11.7,74,330,8,,30.05,,,,,,,,,,,,0.0,100,13,2014,01,02,20
2014,01,02,20,14,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,018,3200,71,,,-8.3,-11.7,74,330,10,21,30.05,,,,,,,,,,,,0.0,100,13,2014,01,02,20
2014,01,02,20,23,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,026,0000,71,,,-8.3,-11.7,74,340,8,20,30.06,,,,,,,,,,,,0.0,100,13,2014,01,02,20
2014,01,02,20,29,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,031,3200,71,,,-8.3,-12.2,71,350,12,23,30.06,,,,,,,,,,,,0.0,100,13,2014,01,02,20
2014,01,02,20,32,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,029,4800,71,,,-8.3,-12.2,71,350,14,23,30.06,,,,,,,,,,,,0.0,100,13,2014,01,02,21
2014,01,02,20,44,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,025,0000,71,,,-8.3,-11.7,74,350,10,,30.07,,,,,,,,,,,,0.0,100,13,2014,01,02,21
2014,01,02,20,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,025,0300,71,,,-8.3,-11.7,74,330,9,20,30.08,1019.5,,,,,,,,,,0.0,0.0,100,12,2014,01,02,21
2014,01,02,21,05,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,025,3200,71,,,-8.3,-11.7,74,350,10,20,30.09,,,,,,,,,,,,0.0,100,13,2014,01,02,21
2014,01,02,21,11,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,021,1200,71,,,-8.3,-11.7,74,350,12,22,30.09,,,,,,,,,,,,0.0,100,13,2014,01,02,21
2014,01,02,21,23,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,023,0000,71,,,-8.3,-12.2,71,340,10,26,30.10,,,,,,,,,,,,0.0,100,13,2014,01,02,21
2014,01,02,21,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,027,0000,71,,,-8.3,-12.2,71,350,11,20,30.13,1021.1,,,,,,,,,,,0.0,100,12,2014,01,02,22
2014,01,02,22,10,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,027,0000,71,,,-8.9,-12.2,74,350,9,20,30.14,,,,,,,,,,,,0.0,100,13,2014,01,02,22
2014,01,02,22,20,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,025,0000,71,,,-8.9,-11.7,78,340,7,18,30.15,,,,,,,,,,,,0.0,100,13,2014,01,02,22
2014,01,02,22,46,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,020,0300,71,,,-8.9,-12.2,74,350,8,18,30.17,,,,,,,,,,,,0.0,100,13,2014,01,02,23
2014,01,02,22,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,020,0300,71,,,-8.9,-12.2,74,340,11,20,30.17,1022.6,,,,,,,,,,,0.0,100,12,2014,01,02,23
2014,01,02,23,12,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,024,4800,71,,,-9.4,-12.8,74,-1,6,18,30.18,,,,,,,,,,,,0.0,100,13,2014,01,02,23
2014,01,02,23,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,022,4800,71,,,-9.4,-12.8,74,340,9,21,30.22,1024.3,,,,,,-7,-9,,,0.0,0.0,100,12,2014,01,03,00
2014,01,03,00,37,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,030,4800,71,,,-10.0,-12.8,78,350,9,,30.25,,,,,,,,,,,,0.0,100,13,2014,01,03,01
2014,01,03,00,44,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,028,4800,71,,,-10.0,-13.3,74,350,9,17,30.25,,,,,,,,,,,,0.0,100,13,2014,01,03,01
2014,01,03,00,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,027,0300,71,,,-10.0,-13.3,74,340,7,,30.26,1025.8,,,,,,,,,,,0.0,100,12,2014,01,03,01
2014,01,03,01,24,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,6,100,9999,,,,-10.6,-13.9,74,340,6,,30.28,,,,,,,,,,,,0.0,100,13,2014,01,03,01
2014,01,03,01,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,100,9999,,,,-10.6,-13.9,74,330,6,,30.29,1027.0,,,,,,,,,,,0.0,100,12,2014,01,03,02
2014,01,03,02,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-11.1,-15.6,66,320,3,,30.30,1027.4,,,,,,,,,,0.0,,100,14,2014,01,03,03
2014,01,03,03,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-11.7,-16.1,67,310,3,,30.32,1028.2,,,,,,,,,,,,100,14,2014,01,03,04
2014,01,03,04,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-12.2,-16.7,66,310,4,,30.34,1028.9,,3.3,-12.2,,,,,,,,,100,14,2014,01,03,05
2014,01,03,05,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-12.8,-16.1,74,310,3,,30.36,1029.5,,,,,,-9,-13,,,0.0,,100,14,2014,01,03,06
2014,01,03,06,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-14.4,-16.1,85,0,0,,30.37,1030.1,,,,,,,,,,,,100,14,2014,01,03,07
2014,01,03,07,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-15.0,-17.8,77,0,0,,30.38,1030.4,,,,,,,,,,,,100,14,2014,01,03,08
2014,01,03,08,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-15.6,-17.2,86,300,4,,30.41,1031.5,,,,,,,,,,,,100,14,2014,01,03,09
2014,01,03,09,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-17.2,-19.4,81,0,0,,30.41,1031.6,,,,,,,,,,,,100,14,2014,01,03,10
2014,01,03,10,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-16.7,-19.4,77,0,0,,30.42,1031.8,,,,,,,,,,,,100,14,2014,01,03,11
2014,01,03,11,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-18.9,-21.1,81,0,0,,30.43,1032.2,,,,,,-13,-19,0.5,,,,100,12,2014,01,03,12
2014,01,03,12,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-18.3,-21.1,76,0,0,,30.45,1032.9,,,,,,,,,,,,100,12,2014,01,03,13
2014,01,03,13,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-19.4,-21.1,85,0,0,,30.47,1033.5,,,,,,,,,,,,100,12,2014,01,03,14
2014,01,03,14,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-15.6,-16.1,95,0,0,,30.48,1034.0,,,,,,,,,,,,100,12,2014,01,03,15
2014,01,03,15,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-11.7,-14.4,78,150,6,,30.49,1034.3,,,,,,,,,,,,100,12,2014,01,03,16
2014,01,03,16,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-9.4,-13.9,67,150,5,,30.46,1033.1,,,,,,,,,,,,100,12,2014,01,03,17
2014,01,03,17,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-8.3,-14.4,58,200,9,,30.43,1031.9,,,,,,-8,-21,,,,,100,12,2014,01,03,18
2014,01,03,18,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-7.8,-13.3,61,180,5,,30.39,1030.8,,,,,,,,,,,,100,12,2014,01,03,19
2014,01,03,19,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,2,,9999,,,,-7.2,-12.8,61,170,5,,30.37,1030.1,,,,,,,,,,,,100,12,2014,01,03,20
2014,01,03,20,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-6.7,-13.3,55,170,7,,30.35,1029.2,,,,,,,,,,,,100,12,2014,01,03,21
2014,01,03,21,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-6.7,-13.3,55,170,6,,30.33,1028.7,,,,,,,,,,,,100,12,2014,01,03,22
